,day,date,susceptible,infected,recovered
95,56,2020-05-25,1016086.9222466005,891840.1326199134,3118298.9451334863
96,57,2020-05-26,983662.6951944528,860561.4930563531,3182001.8117491943
97,58,2020-05-27,953374.0485231291,829381.4616522229,3243470.489824648
98,59,2020-05-28,925081.6733581042,798432.303842089,3302712.0227998067
99,60,2020-05-29,898653.3302966467,767829.768057683,3359742.90164567
100,61,2020-05-30,873964.0237511329,737674.0911705052,3414587.8850783617
101,62,2020-05-31,850896.0289758316,708051.0794336275,3467278.8915905408
102,63,2020-06-01,829338.8044711455,679033.2268359116,3517853.9686929425
103,64,2020-06-02,809188.8174446304,650680.8405170044,3566356.3420383646
104,65,2020-06-03,790349.3054045865,623043.1496629769,3612833.544932437
105,66,2020-06-04,772729.9928445837,596159.3801041956,3657336.627051221
106,67,2020-06-05,756246.778371291,570059.7817129028,3699919.4399158065
107,68,2020-06-06,740821.4045249965,544766.5997225613,3740637.9957524426
108,69,2020-06-07,726381.1199123858,520294.984354989,3779549.8957326254
109,70,2020-06-08,712858.3410722602,496653.83574118686,3816713.823186553
110,71,2020-06-09,700190.3196789918,473846.5831529419,3852189.0971680665
111,72,2020-06-10,688318.8192064085,451871.89911460085,3886035.281678991
112,73,2020-06-11,677189.8039789355,430724.3501196024,3918311.8459014622
113,74,2020-06-12,666753.1425830912,410394.9865069036,3949077.870910005
114,75,2020-06-13,656962.3268610882,390871.8746212706,3978391.798517641
115,76,2020-06-14,647774.207124308,372140.5747422457,4006311.2181334463
116,77,2020-06-15,639148.7437774753,354184.56846463226,4032892.6877578925
117,78,2020-06-16,631048.7752085739,336985.63928605994,4058191.5855053663
118,79,2020-06-17,623439.8015531091,320524.2101353776,4082261.9883115133
119,80,2020-06-18,616289.7837660338,304779.64148421155,4105156.5747497547
120,81,2020-06-19,609568.957315473,289730.493543043,4126926.5491414843
121,82,2020-06-20,603249.6597369822,275354.7558684593,4147621.584394559
122,83,2020-06-21,597306.1712454376,261630.04751225686,4167289.781242306
123,84,2020-06-22,591714.567585685,248533.7906354196,4185977.6417788956
124,85,2020-06-23,586452.5843063012,236043.36029798776,4203730.055395711
125,86,2020-06-24,581499.4916580816,224136.21292492247,4220590.295416996
126,87,2020-06-25,576835.979346113,212789.99574225373,4236600.024911633
127,88,2020-06-26,572444.0503983201,201982.63927988574,4251799.310321794
128,89,2020-06-27,568306.9234517477,191692.43484932344,4266226.641698929
129,90,2020-06-28,564408.942798653,181898.09872746663,4279918.958473881
130,91,2020-06-29,560735.495576309,172578.82461213437,4292911.679811557
131,92,2020-06-30,557272.9355262087,163714.32576136795,4305238.7387124235
132,93,2020-07-01,554008.5127893117,155284.86808673863,4316932.61912395
133,94,2020-07-02,550930.3092435711,147271.2953405693,4328024.395415859
134,95,2020-07-03,548027.1789278147,139655.04741771362,4338543.773654471
135,96,2020-07-04,545288.6931319165,132418.17268377528,4348519.134184308
136,97,2020-07-05,542705.0897669307,125543.33514277713,4357977.575090292
137,98,2020-07-06,540267.2266604253,119013.81716765554,4366944.956171919
138,99,2020-07-07,537966.5384516332,112813.51843590086,4375445.943112466
139,100,2020-07-08,535794.9967882927,106926.95163953413,4383504.051572173
140,101,2020-07-09,533745.0735522374,101339.23547276572,4391141.690974997
141,102,2020-07-10,531809.7068640089,96036.08534151073,4398380.20779448
142,103,2020-07-11,529982.269638124,91003.80218585908,4405239.928176017
143,104,2020-07-12,528256.5404802149,86229.25975906407,4411740.199760721
144,105,2020-07-13,526626.6767352287,81699.890664117,4417899.432600655
145,106,2020-07-14,525087.1895123008,77403.67141103646,4423735.139076662
146,107,2020-07-15,523632.9205269352,73329.10672418517,4429263.972748879
147,108,2020-07-16,522259.02061484865,69465.2132988299,4434501.766086321
148,109,2020-07-17,520960.9297843503,65801.50317941185,4439463.567036238
149,110,2020-07-18,519734.3586855452,62327.9669082589,4444163.674406196
150,111,2020-07-19,518575.2713850606,59035.05657243928,4448615.6720425
151,112,2020-07-20,517479.869344475,55913.66885785066,4452832.461797674
152,113,2020-07-21,516444.57650927483,52955.12820320431,4456826.295287521
153,114,2020-07-22,515466.02542303404,50151.170132073385,4460608.804444892
154,115,2020-07-23,514541.04428868246,47493.924828419695,4464191.030882898
155,116,2020-07-24,513666.644905264,44975.90100980813,4467583.454084928
156,117,2020-07-25,512840.0114145347,42589.97014269403,4470796.018442771
157,118,2020-07-26,512058.4897971757,40329.351035574924,4473838.15916725
158,119,2020-07-27,511319.57806333975,38187.59483829835,4476718.827098362
159,120,2020-07-28,510620.9170867552,36158.570469290156,4479446.512443955
