day,hosp,icu,vent,scenario
39,1805.0,897.0,492.0,test_soc_25
40,1864.0,928.0,509.0,test_soc_25
41,1920.0,958.0,526.0,test_soc_25
42,1971.0,986.0,542.0,test_soc_25
43,2017.0,1012.0,556.0,test_soc_25
44,2058.0,1036.0,570.0,test_soc_25
45,2093.0,1056.0,582.0,test_soc_25
46,2121.0,1074.0,593.0,test_soc_25
47,2141.0,1088.0,601.0,test_soc_25
48,2153.0,1098.0,608.0,test_soc_25
49,2156.0,1104.0,612.0,test_soc_25
50,2149.0,1105.0,614.0,test_soc_25
51,2132.0,1101.0,613.0,test_soc_25
52,2105.0,1092.0,609.0,test_soc_25
53,2067.0,1077.0,603.0,test_soc_25
54,2018.0,1058.0,594.0,test_soc_25
55,1957.0,1032.0,582.0,test_soc_25
56,1886.0,1001.0,566.0,test_soc_25
57,1805.0,965.0,548.0,test_soc_25
58,1713.0,923.0,526.0,test_soc_25
59,1611.0,876.0,502.0,test_soc_25
60,1499.0,824.0,475.0,test_soc_25
61,1379.0,768.0,445.0,test_soc_25
62,1252.0,707.0,412.0,test_soc_25
63,1118.0,642.0,377.0,test_soc_25
64,978.0,574.0,340.0,test_soc_25
65,834.0,503.0,301.0,test_soc_25
66,686.0,430.0,261.0,test_soc_25
67,537.0,355.0,220.0,test_soc_25
68,396.0,282.0,180.0,test_soc_25
69,276.0,217.0,143.0,test_soc_25
70,177.0,160.0,110.0,test_soc_25
71,100.0,112.0,81.0,test_soc_25
72,45.0,72.0,57.0,test_soc_25
73,12.0,41.0,37.0,test_soc_25
74,0.0,19.0,21.0,test_soc_25
75,0.0,5.0,10.0,test_soc_25
76,0.0,0.0,3.0,test_soc_25
77,0.0,0.0,0.0,test_soc_25
78,0.0,0.0,0.0,test_soc_25
79,0.0,0.0,0.0,test_soc_25
80,0.0,0.0,0.0,test_soc_25
81,0.0,0.0,0.0,test_soc_25
82,0.0,0.0,0.0,test_soc_25
83,0.0,0.0,0.0,test_soc_25
84,0.0,0.0,0.0,test_soc_25
85,0.0,0.0,0.0,test_soc_25
86,0.0,0.0,0.0,test_soc_25
87,0.0,0.0,0.0,test_soc_25
88,0.0,0.0,0.0,test_soc_25
89,0.0,0.0,0.0,test_soc_25
90,0.0,0.0,0.0,test_soc_25
91,0.0,0.0,0.0,test_soc_25
92,0.0,0.0,0.0,test_soc_25
93,0.0,0.0,0.0,test_soc_25
94,0.0,0.0,0.0,test_soc_25
95,0.0,0.0,0.0,test_soc_25
96,0.0,0.0,0.0,test_soc_25
97,0.0,0.0,0.0,test_soc_25
98,0.0,0.0,0.0,test_soc_25
99,0.0,0.0,0.0,test_soc_25
100,0.0,0.0,0.0,test_soc_25
101,0.0,0.0,0.0,test_soc_25
102,0.0,0.0,0.0,test_soc_25
103,0.0,0.0,0.0,test_soc_25
104,0.0,0.0,0.0,test_soc_25
105,0.0,0.0,0.0,test_soc_25
106,0.0,0.0,0.0,test_soc_25
107,0.0,0.0,0.0,test_soc_25
108,0.0,0.0,0.0,test_soc_25
109,0.0,0.0,0.0,test_soc_25
110,0.0,0.0,0.0,test_soc_25
111,0.0,0.0,0.0,test_soc_25
112,0.0,0.0,0.0,test_soc_25
113,0.0,0.0,0.0,test_soc_25
114,0.0,0.0,0.0,test_soc_25
115,0.0,0.0,0.0,test_soc_25
116,0.0,0.0,0.0,test_soc_25
117,0.0,0.0,0.0,test_soc_25
118,0.0,0.0,0.0,test_soc_25
119,0.0,0.0,0.0,test_soc_25
120,0.0,0.0,0.0,test_soc_25
0,0.0,0.0,0.0,test_soc_30
1,34.0,14.0,7.0,test_soc_30
2,71.0,29.0,15.0,test_soc_30
3,110.0,45.0,23.0,test_soc_30
4,152.0,62.0,32.0,test_soc_30
5,197.0,80.0,41.0,test_soc_30
6,245.0,100.0,51.0,test_soc_30
7,297.0,121.0,62.0,test_soc_30
8,318.0,143.0,73.0,test_soc_30
9,340.0,167.0,85.0,test_soc_30
10,364.0,178.0,98.0,test_soc_30
11,389.0,190.0,105.0,test_soc_30
12,416.0,203.0,112.0,test_soc_30
13,445.0,217.0,120.0,test_soc_30
14,475.0,232.0,128.0,test_soc_30
15,507.0,247.0,137.0,test_soc_30
16,541.0,263.0,146.0,test_soc_30
17,577.0,281.0,155.0,test_soc_30
18,615.0,299.0,165.0,test_soc_30
19,655.0,319.0,176.0,test_soc_30
20,696.0,340.0,187.0,test_soc_30
21,740.0,362.0,199.0,test_soc_30
22,786.0,385.0,211.0,test_soc_30
23,834.0,409.0,224.0,test_soc_30
24,884.0,434.0,237.0,test_soc_30
25,936.0,460.0,251.0,test_soc_30
26,990.0,487.0,266.0,test_soc_30
27,1047.0,515.0,281.0,test_soc_30
28,1105.0,544.0,297.0,test_soc_30
29,1165.0,574.0,313.0,test_soc_30
30,1227.0,604.0,330.0,test_soc_30
