day,hosp,icu,vent,scenario
95,0.0,0.0,0.0,test_soc_15
96,0.0,0.0,0.0,test_soc_15
97,0.0,0.0,0.0,test_soc_15
98,0.0,0.0,0.0,test_soc_15
99,0.0,0.0,0.0,test_soc_15
100,0.0,0.0,0.0,test_soc_15
101,0.0,0.0,0.0,test_soc_15
102,0.0,0.0,0.0,test_soc_15
103,0.0,0.0,0.0,test_soc_15
104,0.0,0.0,0.0,test_soc_15
105,0.0,0.0,0.0,test_soc_15
106,0.0,0.0,0.0,test_soc_15
107,0.0,0.0,0.0,test_soc_15
108,0.0,0.0,0.0,test_soc_15
109,0.0,0.0,0.0,test_soc_15
110,0.0,0.0,0.0,test_soc_15
111,0.0,0.0,0.0,test_soc_15
112,0.0,0.0,0.0,test_soc_15
113,0.0,0.0,0.0,test_soc_15
114,0.0,0.0,0.0,test_soc_15
115,0.0,0.0,0.0,test_soc_15
116,0.0,0.0,0.0,test_soc_15
117,0.0,0.0,0.0,test_soc_15
118,0.0,0.0,0.0,test_soc_15
119,0.0,0.0,0.0,test_soc_15
120,,,,test_soc_15
0,0.0,0.0,0.0,test_soc_20
1,34.0,14.0,7.0,test_soc_20
2,37.0,15.0,8.0,test_soc_20
3,39.0,16.0,8.0,test_soc_20
4,42.0,17.0,9.0,test_soc_20
5,45.0,18.0,9.0,test_soc_20
6,48.0,20.0,10.0,test_soc_20
7,52.0,21.0,11.0,test_soc_20
8,55.0,22.0,11.0,test_soc_20
9,59.0,24.0,12.0,test_soc_20
10,63.0,25.0,13.0,test_soc_20
11,67.0,27.0,14.0,test_soc_20
12,72.0,29.0,15.0,test_soc_20
13,77.0,31.0,16.0,test_soc_20
14,82.0,33.0,17.0,test_soc_20
15,87.0,35.0,18.0,test_soc_20
16,93.0,37.0,19.0,test_soc_20
17,99.0,40.0,20.0,test_soc_20
18,105.0,42.0,21.0,test_soc_20
19,112.0,45.0,23.0,test_soc_20
20,118.0,48.0,24.0,test_soc_20
21,126.0,51.0,26.0,test_soc_20
22,133.0,54.0,27.0,test_soc_20
23,141.0,57.0,29.0,test_soc_20
24,149.0,60.0,30.0,test_soc_20
25,157.0,63.0,32.0,test_soc_20
26,166.0,67.0,34.0,test_soc_20
27,175.0,70.0,35.0,test_soc_20
28,184.0,74.0,37.0,test_soc_20
29,193.0,78.0,39.0,test_soc_20
30,203.0,81.0,41.0,test_soc_20
31,212.0,85.0,43.0,test_soc_20
32,222.0,89.0,45.0,test_soc_20
33,231.0,93.0,47.0,test_soc_20
34,240.0,96.0,48.0,test_soc_20
35,250.0,100.0,50.0,test_soc_20
36,259.0,104.0,52.0,test_soc_20
37,267.0,107.0,54.0,test_soc_20
38,275.0,110.0,55.0,test_soc_20
39,283.0,113.0,57.0,test_soc_20
40,290.0,116.0,58.0,test_soc_20
41,296.0,119.0,60.0,test_soc_20
42,301.0,121.0,61.0,test_soc_20
43,305.0,122.0,61.0,test_soc_20
44,308.0,124.0,62.0,test_soc_20
45,310.0,124.0,62.0,test_soc_20
46,311.0,125.0,63.0,test_soc_20
47,310.0,124.0,62.0,test_soc_20
48,308.0,123.0,62.0,test_soc_20
49,304.0,122.0,61.0,test_soc_20
50,298.0,120.0,60.0,test_soc_20
51,291.0,117.0,59.0,test_soc_20
52,283.0,113.0,57.0,test_soc_20
53,273.0,109.0,55.0,test_soc_20
54,261.0,105.0,53.0,test_soc_20
55,247.0,99.0,50.0,test_soc_20
56,233.0,93.0,47.0,test_soc_20
57,217.0,87.0,44.0,test_soc_20
58,199.0,80.0,40.0,test_soc_20
59,181.0,73.0,37.0,test_soc_20
60,161.0,65.0,33.0,test_soc_20
61,141.0,57.0,29.0,test_soc_20
62,120.0,48.0,24.0,test_soc_20
63,99.0,40.0,20.0,test_soc_20
64,77.0,31.0,16.0,test_soc_20
65,55.0,22.0,11.0,test_soc_20
66,33.0,14.0,7.0,test_soc_20
67,12.0,5.0,3.0,test_soc_20
68,0.0,0.0,0.0,test_soc_20
69,0.0,0.0,0.0,test_soc_20
70,0.0,0.0,0.0,test_soc_20
71,0.0,0.0,0.0,test_soc_20
72,0.0,0.0,0.0,test_soc_20
73,0.0,0.0,0.0,test_soc_20
74,0.0,0.0,0.0,test_soc_20
75,0.0,0.0,0.0,test_soc_20
76,0.0,0.0,0.0,test_soc_20
77,0.0,0.0,0.0,test_soc_20
78,0.0,0.0,0.0,test_soc_20
79,0.0,0.0,0.0,test_soc_20
80,0.0,0.0,0.0,test_soc_20
81,0.0,0.0,0.0,test_soc_20
82,0.0,0.0,0.0,test_soc_20
83,0.0,0.0,0.0,test_soc_20
84,0.0,0.0,0.0,test_soc_20
85,0.0,0.0,0.0,test_soc_20
86,0.0,0.0,0.0,test_soc_20
87,0.0,0.0,0.0,test_soc_20
88,0.0,0.0,0.0,test_soc_20
89,0.0,0.0,0.0,test_soc_20
90,0.0,0.0,0.0,test_soc_20
91,0.0,0.0,0.0,test_soc_20
92,0.0,0.0,0.0,test_soc_20
93,0.0,0.0,0.0,test_soc_20
94,0.0,0.0,0.0,test_soc_20
95,0.0,0.0,0.0,test_soc_20
96,0.0,0.0,0.0,test_soc_20
97,0.0,0.0,0.0,test_soc_20
98,0.0,0.0,0.0,test_soc_20
99,0.0,0.0,0.0,test_soc_20
100,0.0,0.0,0.0,test_soc_20
101,0.0,0.0,0.0,test_soc_20
102,0.0,0.0,0.0,test_soc_20
103,0.0,0.0,0.0,test_soc_20
104,0.0,0.0,0.0,test_soc_20
105,0.0,0.0,0.0,test_soc_20
106,0.0,0.0,0.0,test_soc_20
107,0.0,0.0,0.0,test_soc_20
108,0.0,0.0,0.0,test_soc_20
109,0.0,0.0,0.0,test_soc_20
110,0.0,0.0,0.0,test_soc_20
111,0.0,0.0,0.0,test_soc_20
112,0.0,0.0,0.0,test_soc_20
113,0.0,0.0,0.0,test_soc_20
114,0.0,0.0,0.0,test_soc_20
115,0.0,0.0,0.0,test_soc_20
116,0.0,0.0,0.0,test_soc_20
117,0.0,0.0,0.0,test_soc_20
118,0.0,0.0,0.0,test_soc_20
119,0.0,0.0,0.0,test_soc_20
120,,,,test_soc_20
0,0.0,0.0,0.0,test_soc_25
1,34.0,14.0,7.0,test_soc_25
2,37.0,15.0,8.0,test_soc_25
3,39.0,16.0,8.0,test_soc_25
4,42.0,17.0,9.0,test_soc_25
5,45.0,18.0,9.0,test_soc_25
6,48.0,20.0,10.0,test_soc_25
7,52.0,21.0,11.0,test_soc_25
8,55.0,22.0,11.0,test_soc_25
9,59.0,24.0,12.0,test_soc_25
10,63.0,25.0,13.0,test_soc_25
11,67.0,27.0,14.0,test_soc_25
12,72.0,29.0,15.0,test_soc_25
13,77.0,31.0,16.0,test_soc_25
14,82.0,33.0,17.0,test_soc_25
15,87.0,35.0,18.0,test_soc_25
16,93.0,37.0,19.0,test_soc_25
17,99.0,40.0,20.0,test_soc_25
18,105.0,42.0,21.0,test_soc_25
19,112.0,45.0,23.0,test_soc_25
20,118.0,48.0,24.0,test_soc_25
21,126.0,51.0,26.0,test_soc_25
22,133.0,54.0,27.0,test_soc_25
23,141.0,57.0,29.0,test_soc_25
24,149.0,60.0,30.0,test_soc_25
25,157.0,63.0,32.0,test_soc_25
26,166.0,67.0,34.0,test_soc_25
27,175.0,70.0,35.0,test_soc_25
28,184.0,74.0,37.0,test_soc_25
29,193.0,78.0,39.0,test_soc_25
30,203.0,81.0,41.0,test_soc_25
31,212.0,85.0,43.0,test_soc_25
32,222.0,89.0,45.0,test_soc_25
33,231.0,93.0,47.0,test_soc_25
34,240.0,96.0,48.0,test_soc_25
35,250.0,100.0,50.0,test_soc_25
36,259.0,104.0,52.0,test_soc_25
37,267.0,107.0,54.0,test_soc_25
38,275.0,110.0,55.0,test_soc_25
39,283.0,113.0,57.0,test_soc_25
40,290.0,116.0,58.0,test_soc_25
41,296.0,119.0,60.0,test_soc_25
42,301.0,121.0,61.0,test_soc_25
43,305.0,122.0,61.0,test_soc_25
44,308.0,124.0,62.0,test_soc_25
45,310.0,124.0,62.0,test_soc_25
46,311.0,125.0,63.0,test_soc_25
47,310.0,124.0,62.0,test_soc_25
48,308.0,123.0,62.0,test_soc_25
49,304.0,122.0,61.0,test_soc_25
50,298.0,120.0,60.0,test_soc_25
51,291.0,117.0,59.0,test_soc_25
52,283.0,113.0,57.0,test_soc_25
53,273.0,109.0,55.0,test_soc_25
54,261.0,105.0,53.0,test_soc_25
55,247.0,99.0,50.0,test_soc_25
56,233.0,93.0,47.0,test_soc_25
57,217.0,87.0,44.0,test_soc_25
58,199.0,80.0,40.0,test_soc_25
59,181.0,73.0,37.0,test_soc_25
60,161.0,65.0,33.0,test_soc_25
61,141.0,57.0,29.0,test_soc_25
62,120.0,48.0,24.0,test_soc_25
63,99.0,40.0,20.0,test_soc_25
64,77.0,31.0,16.0,test_soc_25
65,55.0,22.0,11.0,test_soc_25
66,33.0,14.0,7.0,test_soc_25
67,12.0,5.0,3.0,test_soc_25
68,0.0,0.0,0.0,test_soc_25
69,0.0,0.0,0.0,test_soc_25
70,0.0,0.0,0.0,test_soc_25
71,0.0,0.0,0.0,test_soc_25
72,0.0,0.0,0.0,test_soc_25
73,0.0,0.0,0.0,test_soc_25
74,0.0,0.0,0.0,test_soc_25
75,0.0,0.0,0.0,test_soc_25
76,0.0,0.0,0.0,test_soc_25
77,0.0,0.0,0.0,test_soc_25
78,0.0,0.0,0.0,test_soc_25
79,0.0,0.0,0.0,test_soc_25
80,0.0,0.0,0.0,test_soc_25
81,0.0,0.0,0.0,test_soc_25
82,0.0,0.0,0.0,test_soc_25
83,0.0,0.0,0.0,test_soc_25
84,0.0,0.0,0.0,test_soc_25
85,0.0,0.0,0.0,test_soc_25
86,0.0,0.0,0.0,test_soc_25
87,0.0,0.0,0.0,test_soc_25
88,0.0,0.0,0.0,test_soc_25
89,0.0,0.0,0.0,test_soc_25
90,0.0,0.0,0.0,test_soc_25
91,0.0,0.0,0.0,test_soc_25
92,0.0,0.0,0.0,test_soc_25
93,0.0,0.0,0.0,test_soc_25
94,0.0,0.0,0.0,test_soc_25
95,0.0,0.0,0.0,test_soc_25
96,0.0,0.0,0.0,test_soc_25
97,0.0,0.0,0.0,test_soc_25
98,0.0,0.0,0.0,test_soc_25
99,0.0,0.0,0.0,test_soc_25
100,0.0,0.0,0.0,test_soc_25
101,0.0,0.0,0.0,test_soc_25
102,0.0,0.0,0.0,test_soc_25
103,0.0,0.0,0.0,test_soc_25
104,0.0,0.0,0.0,test_soc_25
105,0.0,0.0,0.0,test_soc_25
106,0.0,0.0,0.0,test_soc_25
107,0.0,0.0,0.0,test_soc_25
108,0.0,0.0,0.0,test_soc_25
109,0.0,0.0,0.0,test_soc_25
110,0.0,0.0,0.0,test_soc_25
111,0.0,0.0,0.0,test_soc_25
112,0.0,0.0,0.0,test_soc_25
113,0.0,0.0,0.0,test_soc_25
114,0.0,0.0,0.0,test_soc_25
115,0.0,0.0,0.0,test_soc_25
116,0.0,0.0,0.0,test_soc_25
117,0.0,0.0,0.0,test_soc_25
118,0.0,0.0,0.0,test_soc_25
119,0.0,0.0,0.0,test_soc_25
120,,,,test_soc_25
0,0.0,0.0,0.0,test_soc_30
1,34.0,14.0,7.0,test_soc_30
2,37.0,15.0,8.0,test_soc_30
3,39.0,16.0,8.0,test_soc_30
4,42.0,17.0,9.0,test_soc_30
5,45.0,18.0,9.0,test_soc_30
6,48.0,20.0,10.0,test_soc_30
7,52.0,21.0,11.0,test_soc_30
8,55.0,22.0,11.0,test_soc_30
9,59.0,24.0,12.0,test_soc_30
10,63.0,25.0,13.0,test_soc_30
